credibility_score,credibility_vs_reconstructed_delta,evidence_asr_tokens,evidence_caption_tokens,evidence_level,evidence_ocr_tokens,evidence_quality_score,evidence_total_tokens,evidence_transcript_tokens,generation_origin_excluded_from_credibility,generation_origin_level,generation_origin_rationale,generation_origin_score,manipulation_score,misinformation_score,notes,reconstructed_credibility_score,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url,weighted_evidence_quality_penalty,weighted_manipulation_penalty,weighted_misinformation_penalty,weighted_scam_penalty,weighted_total_penalty,weighted_uncertainty_penalty
56.34,-16.6708,0,17,low,0,76.38,17,0,True,low,Human-generated content likely.,1.24,0.0,20.64,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | OpenAI claim verification skipped because extracted evidence was too thin; using heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 20.64. | Evidence-quality penalty score: 76.38.,73.01,10.0,0.52,not_enough_evidence,70.05,https://www.instagram.com/reel/DVQUiv8Eoev/?igsh=NjFhOGMzYTE3ZQ==,9.1656,0.0,7.0176,2.4,26.9892,8.406
51.74,8.34,0,0,low,0,100.0,0,0,True,low,Human-generated content likely.,1.61,25.0,65.0,Instagram returned a generic app-shell/error page instead of public post metadata. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Could not extract transcript/caption from this link. Returning limited-confidence report. | Ingestion quality: insufficient evidence extracted from source media. | Generation origin score calibrated by trained logistic model. | Analysis-confidence score: 3.0.,43.4,25.0,0.99,not_enough_evidence,100.0,https://www.instagram.com/reel/DTvWvaFj3TP/?igsh=NjFhOGMzYTE3ZQ==,12.0,4.5,22.1,6.0,56.6,12.0
51.74,8.34,0,0,low,0,100.0,0,0,True,low,Human-generated content likely.,1.61,25.0,65.0,Instagram returned a generic app-shell/error page instead of public post metadata. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Could not extract transcript/caption from this link. Returning limited-confidence report. | Ingestion quality: insufficient evidence extracted from source media. | Generation origin score calibrated by trained logistic model. | Analysis-confidence score: 3.0.,43.4,25.0,0.99,not_enough_evidence,100.0,https://www.instagram.com/reel/DVfVE6ritM1/?igsh=NjFhOGMzYTE3ZQ==,12.0,4.5,22.1,6.0,56.6,12.0
51.74,8.34,0,0,low,0,100.0,0,0,True,low,Human-generated content likely.,1.61,25.0,65.0,Instagram returned a generic app-shell/error page instead of public post metadata. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Could not extract transcript/caption from this link. Returning limited-confidence report. | Ingestion quality: insufficient evidence extracted from source media. | Generation origin score calibrated by trained logistic model. | Analysis-confidence score: 3.0.,43.4,25.0,0.99,not_enough_evidence,100.0,https://www.instagram.com/reel/DVbGD6xjyV5/?igsh=NjFhOGMzYTE3ZQ==,12.0,4.5,22.1,6.0,56.6,12.0
74.65,-13.5364,0,70,medium,0,41.23,70,0,True,low,Human-generated content likely.,1.57,0.0,6.5,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 62.59. | Evidence-quality penalty score: 41.23. | Extracted evidence token count: 70.,88.19,10.0,0.55,supported,18.8,https://www.tiktok.com/@reuters/video/7589372207017626894,4.9476,0.0,2.21,2.4,11.8136,2.256
52.66,-19.1772,0,2,low,0,95.69,2,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.31. | Evidence-quality penalty score: 95.69. | Extracted evidence token count: 2. | Final score was blended toward a neutral baseline because evidence confidence is limited.,71.84,10.0,,,68.0,https://www.tiktok.com/@brookemonk_/video/7603118297403378975,11.4828,0.0,6.12,2.4,28.1628,8.16
55.7,-16.1712,0,4,low,0,78.38,4,0,True,low,Human-generated content likely.,1.24,0.0,21.68,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | OpenAI claim verification skipped because extracted evidence was too thin; using heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 18.62. | Evidence-quality penalty score: 78.38.,71.87,10.0,0.52,not_enough_evidence,74.6,https://www.tiktok.com/@moreliketoritilla/video/7596155608630299934,9.4056,0.0,7.3712,2.4,28.1288,8.952
56.44,-16.7452,0,19,low,0,76.08,19,0,True,low,Human-generated content likely.,1.27,0.0,20.48,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 20.96. | Evidence-quality penalty score: 76.08.,73.19,10.0,0.56,not_enough_evidence,69.35,https://www.youtube.com/shorts/AlmK64-o8d4,9.1296,0.0,6.9632,2.4,26.8148,8.322
58.57,-15.622,0,25,low,0,71.15,25,0,True,low,Human-generated content likely.,1.28,0.0,20.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 29.59. | Evidence-quality penalty score: 71.15.,74.19,10.0,0.56,not_enough_evidence,67.25,https://www.youtube.com/shorts/4Y_y79sZV84,8.538,0.0,6.8,2.4,25.808,8.07
58.45,-15.5664,0,23,low,0,71.46,23,0,True,low,Human-generated content likely.,1.28,0.0,20.16,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 29.28. | Evidence-quality penalty score: 71.46.,74.02,10.0,0.56,not_enough_evidence,67.95,https://www.youtube.com/shorts/NIm4vcGD7t0,8.5752,0.0,6.8544,2.4,25.9836,8.154
